name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Vancouver,2025-09-01,21.8,16.9,19,21.8,16.9,19,15.3,79.8,0.19,100,33.33,rain,0,0,23.4,9.2,46.2,1017.3,0,,194.3,16.8,7,,2025-09-01T06:29:14,2025-09-01T19:54:22,0.31,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-02,21.7,15.5,18.5,21.7,15.5,18.5,15.8,84.5,0.012,100,8.33,rain,0,0,20.2,6.4,346,1017.9,0,,202.4,17.4,6,,2025-09-02T06:30:41,2025-09-02T19:52:17,0.34,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-03,25.1,16.3,20,25.1,16.3,20,17,83.9,0,0,0,,0,0,18.7,6.1,311.5,1016.7,0,,190.7,16.5,6,,2025-09-03T06:32:07,2025-09-03T19:50:12,0.37,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-04,21.8,16.2,18.7,21.8,16.2,18.7,16.4,86.7,0,0,0,,0,0,20.9,5.3,349.6,1012.9,0,,127.1,11,4,,2025-09-04T06:33:34,2025-09-04T19:48:06,0.4,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-05,23.3,16,19.1,23.3,16,19.1,16.7,86.2,0,0,0,,0,0,18.4,4.5,323,1010.4,0,,168.8,14.6,6,,2025-09-05T06:35:00,2025-09-05T19:45:59,0.44,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-06,23,16.3,19,23,16.3,19,16.2,84.8,1.459,100,12.5,rain,0,0,20.5,5.7,45.5,1012.4,0,,148.1,12.7,6,,2025-09-06T06:36:26,2025-09-06T19:43:52,0.47,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-07,19.6,16.5,17.8,19.6,16.5,17.8,14.7,82.3,0.386,100,83.33,rain,0,0,23.4,11.4,78.9,1017.3,0,,102.3,8.9,4,,2025-09-07T06:37:53,2025-09-07T19:41:45,0.5,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-08,21.5,16.3,18.3,21.5,16.3,18.3,14.7,80,0.116,100,29.17,rain,0,0,19.8,8.1,9.4,1016.2,0,,176,15.5,7,,2025-09-08T06:39:19,2025-09-08T19:39:38,0.54,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-09,20.5,15.6,17.6,20.5,15.6,17.6,15.1,85.6,0.006,100,4.17,rain,0,0,23.4,7.4,324.4,1013.9,0,,165.5,14.3,6,,2025-09-09T06:40:46,2025-09-09T19:37:30,0.57,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-10,21,15.7,17.8,21,15.7,17.8,15.3,85.5,0.018,100,8.33,rain,0,0,22.7,8.4,311,1013.3,0,,186.9,16.1,6,,2025-09-10T06:42:12,2025-09-10T19:35:22,0.61,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-11,20.8,13.4,16.7,20.8,13.4,16.7,14.2,85.7,0.012,100,8.33,rain,0,0,24.1,6.6,6.3,1015.5,0,,180,15.4,6,,2025-09-11T06:43:38,2025-09-11T19:33:13,0.64,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-12,20.1,14.9,16.9,20.1,14.9,16.9,13.9,82.5,0.109,100,29.17,rain,0,0,19.1,9.4,54.2,1017,0,,151.9,13.1,6,,2025-09-12T06:45:05,2025-09-12T19:31:04,0.68,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-13,21.9,14.9,17.6,21.9,14.9,17.6,13.8,79.2,0.116,100,29.17,rain,0,0,27.7,7.8,73.3,1011.8,0,,117,10.3,6,,2025-09-13T06:46:31,2025-09-13T19:28:56,0.71,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-14,17.1,14.9,16.3,17.1,14.9,16.3,14.2,87.6,7.629,100,37.5,rain,0,0,18.7,8.5,36.5,1011.7,0,,35.2,3.1,2,,2025-09-14T06:47:58,2025-09-14T19:26:47,0.75,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-15,19,13.4,15.7,19,13.4,15.7,12.1,79.7,0.171,100,37.5,rain,0,0,21.2,8.9,18.5,1021.5,0,,153.7,13.3,6,,2025-09-15T06:49:25,2025-09-15T19:24:37,0.79,Rain,Clear conditions throughout the day with rain clearing later.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-16,23.8,12.9,18.1,23.8,12.9,18.1,13.7,77.1,0,0,0,,0,0,17.6,7.1,333.9,1016.9,0,,193.5,16.6,6,,2025-09-16T06:50:51,2025-09-16T19:22:28,0.82,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-17,21.5,15.8,18.6,21.5,15.8,18.6,13.6,73.3,0.049,100,16.67,rain,0,0,24.8,15,333.8,1017.4,0,,166.7,14.4,6,,2025-09-17T06:52:18,2025-09-17T19:20:19,0.86,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-18,18.9,13.6,15.7,18.9,13.6,15.7,12.6,82.4,0.012,100,8.33,rain,0,0,28.1,11.1,331.4,1018.1,0,,133.8,11.5,6,,2025-09-18T06:53:45,2025-09-18T19:18:09,0.89,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-19,19.5,11.9,15.4,19.5,11.9,15.4,11.9,80.9,0,0,0,,0,0,20.5,6.3,319.9,1015,0,,187.6,16.3,7,,2025-09-19T06:55:12,2025-09-19T19:16:00,0.93,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-20,21.3,12.9,16.7,21.3,12.9,16.7,12,75.1,1.327,100,33.33,rain,0,0,29.2,10,74.3,1013,0,,140.3,12,6,,2025-09-20T06:56:39,2025-09-20T19:13:50,0.96,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-21,19,13.2,15.8,19,13.2,15.8,12.5,82.3,7.259,100,58.33,rain,0,0,32,13.1,339.5,1013.2,0,,156.1,13.4,6,,2025-09-21T06:58:06,2025-09-21T19:11:41,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-22,20.5,12.2,15.2,20.5,12.2,15.2,10.6,75.3,0.117,100,25,rain,0,0,21.6,9.1,50.4,1021.2,0,,167.6,14.4,6,,2025-09-22T06:59:34,2025-09-22T19:09:31,0.03,Rain,Clear conditions throughout the day with rain clearing later.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-23,19.8,11.4,15.4,19.8,11.4,15.4,11,75.8,0.006,100,4.17,rain,0,0,17.6,7.4,330.2,1019.1,0,,168.8,14.6,6,,2025-09-23T07:01:01,2025-09-23T19:07:22,0.06,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446,F1856"
Vancouver,2025-09-24,18.2,13.1,15.1,18.2,13.1,15.1,11.9,81.2,0.012,100,8.33,rain,0,0,21.6,9.6,337.1,1018.5,0,,177.6,15.3,6,,2025-09-24T07:02:29,2025-09-24T19:05:13,0.1,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-25,15.6,10.4,13.1,15.6,10.4,13.1,9.5,79.4,0.037,100,8.33,rain,0,0,22.3,6.8,353.9,1019.5,0,,107.4,9.3,4,,2025-09-25T07:03:57,2025-09-25T19:03:03,0.13,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446,F1856"
Vancouver,2025-09-26,15.5,12.1,13.8,15.5,12.1,13.8,11,83,0.61,100,75,rain,0,0,25.9,8.5,59.2,1020.1,0,,44.2,3.8,3,,2025-09-26T07:05:25,2025-09-26T19:00:55,0.16,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446,F1856"
Vancouver,2025-09-27,16.3,13.2,14.1,16.3,13.2,14.1,12.7,91.4,8.744,100,54.17,rain,0,0,23.8,11.7,10.9,1011.9,0,,32.3,2.8,2,,2025-09-27T07:06:53,2025-09-27T18:58:46,0.19,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446"
Vancouver,2025-09-28,17.3,12.5,15,17.3,12.5,15,13.1,88.8,3.72,100,20.83,rain,0,0,29.5,8.2,23,1007.7,0,,65.7,5.6,3,,2025-09-28T07:08:21,2025-09-28T18:56:37,0.23,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446"
Vancouver,2025-09-29,15.8,13.8,14.8,15.8,13.8,14.8,14,95,24.3,100,95.83,rain,0,0,40.3,9.7,59.8,1007.2,0,,18.9,1.6,1,,2025-09-29T07:09:50,2025-09-29T18:54:29,0.25,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446"
Vancouver,2025-09-30,17.9,13,14.8,17.9,13,14.8,11.5,82,3.032,100,87.5,rain,0,0,53.3,15.2,85.7,1006.2,0,,83.5,7.3,4,,2025-09-30T07:11:19,2025-09-30T18:52:21,0.29,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,E9431,CAN01108446,F1856"
